HUD frame time nsec:,16669000

Range Index,Elapsed Time, First Event,Last Event
0,20928,2,2
1,31584,8,8
2,64544,15,15
3,1120,19,19
4,1248,24,24
5,608,29,29
6,8384,35,35
7,1193920,54,54
8,640,58,58
9,640,63,63
10,329760,68,68
11,10176,73,73
12,88288,97,97
13,928,101,101
14,1024,106,106
15,36352,111,111
16,12941152,113,113
