HUD frame time nsec:,16664000

Range Index,Elapsed Time, First Event,Last Event
0,10528,2,2
1,31200,8,8
2,66496,15,15
3,1024,19,19
4,1216,24,24
5,608,29,29
6,8480,35,35
7,942048,54,54
8,97472,58,58
9,117088,63,63
10,67968,68,68
11,5728,77,77
12,4224,81,81
13,704,85,85
14,640,90,90
15,640,95,95
16,3840,101,101
17,2016,105,105
18,640,109,109
19,640,114,114
20,640,119,119
21,3424,125,125
22,2080,129,129
23,640,133,133
24,640,138,138
25,640,143,143
26,10272,148,148
27,11719680,169,169
